image_name,width,height,x0,y0,x1,y1,out_of_bounds,bbox_width,bbox_height,bbox_area,image_aspect_ratio,face_width,face_height,face_area,face_aspect_ratio,face_size_category,face_center_x,face_center_y,face_center_x_norm,face_center_y_norm,position_category,image_area,face_to_image_ratio,face_ratio_category
00001722.jpg,1333,2000,490,320,687,664,False,197,344,67768,0.6665,197,344,67768,0.5726744186046512,Very Large,588.5,492.0,0.4414853713428357,0.246,top-center,2666000,0.025419354838709676,Small (1-5%)
00001044.jpg,2000,1333,791,119,1200,436,False,409,317,129653,1.5003750937734435,409,317,129653,1.2902208201892744,Very Large,995.5,277.5,0.49775,0.20817704426106526,top-center,2666000,0.048632033008252064,Small (1-5%)
00001050.jpg,667,1000,304,155,407,331,False,103,176,18128,0.667,103,176,18128,0.5852272727272727,Medium,355.5,243.0,0.532983508245877,0.243,top-center,667000,0.0271784107946027,Small (1-5%)
00001736.jpg,626,417,147,14,519,303,False,372,289,107508,1.501199040767386,372,289,107508,1.28719723183391,Very Large,333.0,158.5,0.5319488817891374,0.3800959232613909,middle-center,261042,0.4118417725883191,Very Large (>30%)
00003121.jpg,626,418,462,60,599,166,False,137,106,14522,1.4976076555023923,137,106,14522,1.2924528301886793,Medium,530.5,113.0,0.847444089456869,0.2703349282296651,top-right,261668,0.05549780638060443,Medium (5-15%)
00003121.jpg,626,418,316,157,441,254,False,125,97,12125,1.4976076555023923,125,97,12125,1.288659793814433,Medium,378.5,205.5,0.604632587859425,0.4916267942583732,middle-center,261668,0.046337343503982144,Small (1-5%)
00003121.jpg,626,418,35,71,160,168,False,125,97,12125,1.4976076555023923,125,97,12125,1.288659793814433,Medium,97.5,119.5,0.15575079872204473,0.28588516746411485,top-left,261668,0.046337343503982144,Small (1-5%)
00003121.jpg,626,418,254,94,376,187,False,122,93,11346,1.4976076555023923,122,93,11346,1.3118279569892473,Medium,315.0,140.5,0.5031948881789138,0.3361244019138756,middle-center,261668,0.043360288609994344,Small (1-5%)
00003121.jpg,626,418,166,118,306,226,False,140,108,15120,1.4976076555023923,140,108,15120,1.2962962962962963,Medium,236.0,172.0,0.3769968051118211,0.41148325358851673,middle-center,261668,0.05778314505403794,Medium (5-15%)
00000400.jpg,600,400,148,61,377,242,False,229,181,41449,1.5,229,181,41449,1.2651933701657458,Large,262.5,151.5,0.4375,0.37875,middle-center,240000,0.17270416666666666,Large (15-30%)
00002571.jpg,960,720,117,159,317,334,False,200,175,35000,1.3333333333333333,200,175,35000,1.1428571428571428,Large,217.0,246.5,0.22604166666666667,0.3423611111111111,middle-left,691200,0.05063657407407408,Medium (5-15%)
00002571.jpg,960,720,596,203,772,354,False,176,151,26576,1.3333333333333333,176,151,26576,1.1655629139072847,Large,684.0,278.5,0.7125,0.38680555555555557,middle-right,691200,0.03844907407407407,Small (1-5%)
00000366.jpg,900,601,170,88,506,350,False,336,262,88032,1.497504159733777,336,262,88032,1.282442748091603,Very Large,338.0,219.0,0.37555555555555553,0.3643926788685524,middle-center,540900,0.16275097060454796,Large (15-30%)
